# started on Sat Feb 28 16:36:24 2015

    55.032770095,3939431985,,instructions
    55.032770095,6292830,,cache-misses
    55.032770095,17638367,,LLC-loads
    55.032770095,0,,major-faults
    55.032770095,1,,minor-faults
    55.032770095,52222138,,L1-dcache-load-misses
    60.034465268,3754079071,,iTLB-loads
    60.034465268,19966.664210,,cpu-clock
    60.034465268,16692478,,branch-misses
    60.034465268,22,,cpu-migrations
    60.034465268,19967.013989,,task-clock
    60.034465268,923272666,,stalled-cycles-backend
    60.034465268,1189,,context-switches
    60.034465268,12,,page-faults
    60.034465268,3622421678,,instructions
    60.034465268,7761088,,cache-misses
    60.034465268,15616597,,LLC-loads
    60.034465268,0,,major-faults
    60.034465268,12,,minor-faults
    60.034465268,46526088,,L1-dcache-load-misses
    65.036094052,3070308436,,iTLB-loads
    65.036094052,19967.538317,,cpu-clock
    65.036094052,11010808,,branch-misses
    65.036094052,16,,cpu-migrations
    65.036094052,19967.341019,,task-clock
    65.036094052,497800310,,stalled-cycles-backend
    65.036094052,1181,,context-switches
    65.036094052,8,,page-faults
    65.036094052,2349692964,,instructions
    65.036094052,5539297,,cache-misses
    65.036094052,12856055,,LLC-loads
    65.036094052,0,,major-faults
    65.036094052,8,,minor-faults
    65.036094052,39881011,,L1-dcache-load-misses
    70.037700983,5474641771,,iTLB-loads
    70.037700983,19967.103322,,cpu-clock
    70.037700983,27189560,,branch-misses
    70.037700983,33,,cpu-migrations
    70.037700983,19967.062960,,task-clock
    70.037700983,2697390244,,stalled-cycles-backend
    70.037700983,1309,,context-switches
    70.037700983,38,,page-faults
    70.037700983,6859544494,,instructions
    70.037700983,11277128,,cache-misses
    70.037700983,28171024,,LLC-loads
    70.037700983,0,,major-faults
    70.037700983,36,,minor-faults
    70.037700983,74964834,,L1-dcache-load-misses
    75.039197933,4876496073,,iTLB-loads
    75.039197933,19967.103571,,cpu-clock
    75.039197933,23754886,,branch-misses
    75.039197933,42,,cpu-migrations
    75.039197933,19967.320768,,task-clock
    75.039197933,1455220082,,stalled-cycles-backend
    75.039197933,1360,,context-switches
    75.039197933,2472,,page-faults
    75.039197933,5514963145,,instructions
    75.039197933,10105704,,cache-misses
    75.039197933,24883639,,LLC-loads
    75.039197933,0,,major-faults
    75.039197933,2470,,minor-faults
    75.039197933,68379375,,L1-dcache-load-misses
    80.040278896,3584275685,,iTLB-loads
    80.040278896,19965.771123,,cpu-clock
    80.040278896,18472659,,branch-misses
    80.040278896,16,,cpu-migrations
    80.040278896,19965.229783,,task-clock
    80.040278896,4235053604,,stalled-cycles-backend
    80.040278896,1276,,context-switches
    80.040278896,9,,page-faults
    80.040278896,4497763327,,instructions
    80.040278896,9648832,,cache-misses
    80.040278896,20395304,,LLC-loads
    80.040278896,0,,major-faults
    80.040278896,9,,minor-faults
    80.040278896,51488340,,L1-dcache-load-misses
    85.041434501,3755990950,,iTLB-loads
    85.041434501,19965.008577,,cpu-clock
    85.041434501,18985976,,branch-misses
    85.041434501,18,,cpu-migrations
    85.041434501,19965.459442,,task-clock
    85.041434501,1105615204,,stalled-cycles-backend
    85.041434501,1190,,context-switches
    85.041434501,31,,page-faults
    85.041434501,4618567245,,instructions
    85.041434501,10011429,,cache-misses
    85.041434501,17463976,,LLC-loads
    85.041434501,0,,major-faults
    85.041434501,31,,minor-faults
    85.041434501,44016477,,L1-dcache-load-misses
    90.042296493,14581224396,,iTLB-loads
    90.042296493,19965.384470,,cpu-clock
    90.042296493,61893434,,branch-misses
    90.042296493,50,,cpu-migrations
    90.042296493,19965.021584,,task-clock
    90.042296493,6210206086,,stalled-cycles-backend
    90.042296493,1360,,context-switches
    90.042296493,37,,page-faults
    90.042296493,18116130591,,instructions
