time	cpu
4.158	3.5000000000000004	
12.474	4.590766002098636	
20.79	4.144593331255843	
29.106	5.020268163392578	
37.422	4.392523364485982	
45.738	8.507323153630415	
54.054	10.580524344569287	
62.37	10.037406483790523	
70.686	11.672897196261683	
79.002	12.63256394260761	
87.318	13.450858034321373	
95.634	14.281259744309324	
103.95	17.83437110834371	
112.266	21.598066729030243	
120.582	21.04368174726989	
128.898	21.48425319613346	
137.214	23.64691203992514	
145.53	25.815230961298376	
153.846	31.21297162457125	
162.162	32.82793017456359	
170.478	33.3588143525741	
178.794	33.573566084788034	
187.11	34.519350811485644	
195.426	34.86267166042447	
203.742	35.378041172801	
212.058	36.45553822152886	
220.374	38.13300186451212	
228.69	40.44330537433986	
237.006	41.55183116076971	
245.322	42.83479349186483	
253.638	43.79251170046802	
261.954	43.01915353722582	
270.27	44.9847018420231	
278.586	44.25465838509317	
286.902	44.690818238600876	
295.218	46.61463067218341	
303.534	48.28998133167393	
311.85	50.405236907730675	
320.166	56.05353252412076	
328.482	56.720174890693315	
336.798	59.66386554621849	
345.114	62.6044776119403	
353.43	65.042407234175236	
361.746	65.31881804043546	
370.062	66.12367270455965	
378.378	66.39534883720931	
386.694	68.42932261057841	
395.01	69.07202993451824	
403.326	73.01367733913584	
411.642	76.1419791026429	
419.958	83.78844361602982	
428.274	85.93460826650215	
436.59	95.96899224806201	
444.906	98.1756338899196	
453.222	98.6428130783467	
461.538	98.77112135176651	
469.854	98.4567901234568	
478.17	94.9798574527425	
486.486	95.02761583307763	
494.802	95.17476028456542	
503.118	97.54353233830845	
511.434	96.68100799016595	
519.75	95.05103618929786	
528.066	94.77083974161796	
536.382	94.22661315220748	
544.698	93.2240099009901	
553.014	94.38623031799938	
561.33	94.45224892174984	
569.646	95.32448286508182	
577.962	94.39366240097502	
586.278	95.5386365391638	
594.594	93.51251158480073	
602.91	94.56886967263743	
611.226	95.87906691221608	
619.542	94.41133004926108	
627.858	94.15041782729804	
636.174	96.07602697731453
