time	value1	value2
990.336488399	222828881	204957442
995.337506323	211668643	342846286
1000.348518225	230480664	330283225
1005.366507247	215338312	264192885
1010.366740566	190580568	348973474
1015.372510113	210133368	318585669
1020.376505373	199173754	352367458
1025.376725343	212207147	369629655
1030.376971535	224039913	326758242
1035.377198565	223035195	352996851
1040.389516678	199350026	364112513
1045.389760565	205525383	309239232
1050.400741063	200207004	414040785
1055.405505743	218540280	378329634
1060.408651195	201361104	342077670
1065.417489735	208886467	356252388
1070.425510299	219542850	352198615
1075.436109734	213160913	358175502
1080.444498676	182652786	365541696
1085.444732596	201595311	320803329
1090.446525104	203712187	295762539
1095.446781359	212944348	328748414
1100.456968345	216297050	342803834
1105.471798636	212203739	356748064
1110.489495681	208572415	372908171
1115.507512955	217366555	362196607
1120.520522295	204344521	307042928
1125.52075163	224706093	354130760
1130.52101685	213903640	350781882
1135.52155394	165766152	371936908
1140.522510453	218758678	365076372
1145.526512677	198624746	342574012
