Time	Throughput
2.953	1.6931933626820184	
8.859	1.015916017609211	
14.765	1.1852353538774127	
20.671	2.031832035218422	
26.577	2.031832035218422	
32.483	2.031832035218422	
38.389	2.7091093802912294	
44.295	2.878428716559431	
50.201	3.217067389095835	
56.107	3.217067389095835	
62.013	4.063664070436844	
67.919	4.063664070436844	
73.825	4.063664070436844	
79.731	4.910260751777853	
85.637	5.079580088046055	
91.543	5.079580088046055	
97.449	5.418218760582459	
103.355	5.926176769387064	
109.261	6.43413477819167	
115.167	5.926176769387064	
121.073	7.280731459532679	
126.979	6.942092786996275	
132.885	6.7727734507280735	
138.791	8.127328140873688	
144.697	7.788689468337284	
150.603	8.127328140873688	
156.509	8.635286149678294	
162.415	8.804605485946496	
168.321	8.635286149678294	
174.227	9.651202167287504	
180.133	10.15916017609211	
186.039	10.328479512360312	
191.945	9.820521503555707	
197.851	11.005756857433118	
203.757	11.005756857433118	
209.663	11.005756857433118	
215.569	10.836437521164918	
221.475	12.190992211310531	
227.381	12.021672875042329	
233.287	12.529630883846936	
239.193	13.037588892651542	
245.099	13.037588892651542	
251.005	12.86826955638334	
256.911	13.037588892651542	
262.817	13.88418557399255	
268.723	14.561462919065358	
274.629	14.90010159160176	
280.535	14.730782255333558	
286.441	15.069420927869963	
292.347	15.238740264138164	
298.253	15.408059600406366	
304.159	16.42397561801558	
310.065	15.916017609210972	
315.971	16.76261429055198	
321.877	17.270572299356587	
327.783	16.931933626820182	
333.689	16.931933626820182	
339.595	17.609210971892992	
345.501	18.455807653234	
351.407	18.117168980697596	
357.313	18.963765662038604	
363.219	18.7944463257704	
369.125	19.30240433457501	
375.031	18.963765662038604	
380.937	20.31832035218422	
386.843	19.979681679647815	
392.749	21.164917033525228	
398.655	21.164917033525228	
404.561	19.810362343379612	
410.467	21.33423636979343	
416.373	21.164917033525228	
422.279	23.535387741280054	
428.185	21.33423636979343	
434.091	23.366068405011852	
439.997	21.672875042329835	
445.903	22.963765662038604	
451.809	24.043345750084658	
457.715	22.47172367084321	
463.621	22.656959024720624	
469.527	23.487639688452422	
475.433	24.88994243142567	
481.339	26.5397900440230274	
487.245	27.154757873349137	
493.151	27.49915340331866	
499.057	26.583135794107687	
504.963	23.87402641381646	
510.869	26.583135794107687	
516.775	26.92177446664409	
522.681	27.599051811716897	
528.587	27.091093802912294	
534.493	27.429732475448695	
540.399	24.292245174398918	
542.305	24.413816457839484
550.212	24.323428202034430
559.733	25.180897738778267
564.432	26.0213912391312
575.322	24.334143429329299
582.333	25.180897738778267
587.333	25.180897738778267
595.333	24.180897738778267
599.004	27.180897738778267
