time	cpu
4.075		2.0
12.224		2.4633123689727463
20.373		2.055434444098412
28.522		2.4926000934725034
36.671		2.2893630275657997
44.82		4.175105156566444
52.969		5.1246105919003115
61.118		6.264609630668537
69.267		4.641744548286604
77.416		7.357755261106782
85.565		6.449602741860103
93.714		6.045497039576192
101.863		7.1851620947630925
110.012		8.571651333229376
118.161		8.098769278703848
126.31		9.294919454770756
134.459		11.11111111111111
142.608		11.47398605107057
150.757		11.521271622253389
158.906		12.51019138011514
167.055		13.7373013399813
175.204		14.352547125720516
183.353		15.14780168381665
191.502		16.08411214953271
199.651		16.194764724213147
207.8		17.031191515907675
215.949		17.041751051565665
224.098		18.182484026803806
232.247		18.504521359526034
240.396		19.737891294190938
248.545		22.579160817345187
256.694		22.70172978027116
264.843		22.91246882793018
272.992		23.696988609767516
281.141		23.67768079800499
289.29		22.52198316183349
297.439		24.53710907110627
305.588		25.654193950732775
313.737		26.399501013566194
321.886		28.411040074847964
330.035		29.76716604244694
338.184		31.36452971455311
346.333		32.65164801935289
354.482		32.87451286048324
362.631		31.362332397879634
370.78		32.907701902089183
378.929		34.10227627065794
387.078		33.411287807920175
395.227		37.65201122544434
403.376		36.586126266562744
411.525		38.41121495327103
419.674		39.58217790933168
427.823		45.026192703461184
435.972		54.780890133831306
444.121		83.75367476404146
452.27		88.77251480211905
460.419		88.54054054054053
468.568		92.95622688039458
476.717		96.07297464440322
484.866		96.07054455445545
493.015		96.8094944512947
501.164		96.09206054989188
509.313		96.08387295713845
517.462		96.09544468546638
525.611		95.79922779922781
533.76		95.68178300572667
541.909		95.14113836186951
550.058		95.46363216976779
558.207		95.60763619431941
566.356		95.7623215108245
574.505		95.61931204689186
582.654		95.47140649149922
590.803		96.01236476043276
598.952		94.96748219262929
607.101		95.6481338082701
615.25		95.08804448563485
623.399		96.53947165147537
631.548		96.30428087465353
